In	O
eVect,	O
as	O
we	O
shall	O
see	O
later,	O
biospheres	O
may	O
maximize	O
the	O
average	O
sustained	O
growth	B-METAPHOR
of	O
their	O
own	O
dimensionality.	O

Unlike	O
other	O
not-for-profit	O
theatres	O
in	O
the	O
city,	O
our	O
actors	O
make	O
their	O
living	O
from	O
their	O
craft.	O

Much	O
has	O
been	O
made	O
of	O
hiring	O
Michael	O
Apted	O
to	O
bring	O
a	O
more	O
human	O
touch	B-METAPHOR
to	O
the	O
series.	O

Our	O
borders	O
and	O
immigration	O
system,	O
including	O
law	O
enforcement,	O
ought	O
to	O
send	O
a	O
message	O
of	O
welcome,	O
tolerance,	O
and	O
justice	O
to	O
members	O
of	O
immigrant	O
communities	O
in	O
the	O
United	O
States	O
and	O
in	O
their	O
countries	O
of	O
origin.	O

Indeed,	O
your	O
history	O
of	O
support	B-METAPHOR
of	O
the	O
Lowell	O
Nussbaum	O
Society	O
pays	O
much	O
more	O
than	O
your	O
rent.	O

By	O
the	O
same	O
token,	O
the	O
overall	O
risk	O
associated	O
with	O
fickle	B-METAPHOR
consumers,	O
numerous	O
selling	O
seasons,	O
and	O
segmented	O
markets'along	O
with	O
fierce	B-METAPHOR
overseas	O
competition'has	O
currently	O
made	O
this	O
a	O
tough	B-METAPHOR
arena	B-METAPHOR
for	O
American	O
retailers	O
and	O
manufacturers.	O

Just	O
a	O
few	O
blocks	O
in	O
back	O
of	O
the	O
malecen	O
are	O
a	O
growing	B-METAPHOR
collection	O
of	O
unique	O
clubs	O
with	O
a	O
more	O
urban	O
edge.	B-METAPHOR

Nor	O
does	O
democratization	O
change	O
the	O
underlying	B-METAPHOR
reality	O
of	O
international	O
geography.	O

The	O
complaints	O
covered	B-METAPHOR
the	O
baggage	O
problems,	O
surly	O
flight	O
attendants,	O
mysteriously	O
canceled	O
flights,	O
billing	O
atrocities.	O

They	O
concluded	O
that	O
none	O
of	O
the	O
passengers	O
was	O
connected	B-METAPHOR
to	O
the	O
9/11	O
attacks	O
and	O
have	O
since	O
found	O
no	O
evidence	O
to	O
change	O
that	O
conclusion.	O

Air	O
pollution	O
levels	O
below	O
the	O
threshold	B-METAPHOR
for	O
each	O
health	O
effect	O
studied	O
are	O
assumed	O
not	O
to	O
cause	O
the	O
effect.	O

Brendan	O
Gill,	O
the	O
former	O
executive	O
director	O
of	O
the	O
Bexar	O
County	O
group,	O
said	O
he	O
has	O
since	O
come	O
to	O
see	O
the	O
merger	B-METAPHOR
as	O
a	O
positive	O
move	B-METAPHOR
for	O
South	O
Texas.	O

In	O
addition	O
to	O
Moussaoui,	O
the	O
two	O
al	O
Qaeda	O
operatives	O
identified	O
by	O
KSM	O
as	O
candidates	O
for	O
the	O
second	O
