A	O
ver	O
si	O
nos	O
tenemos	O
que	O
poner	O
todos	O
en	O
huelga	O
hasta	O
cobrar	O
lo	O
que	O
queramos.	O

Profesor	O
de	O
FP	O
y	O
funcionario	O
de	O
carrera	O
de	O
la	O
Consejería	O
de	O
Educación,	O
ha	O
sido	O
también	O
concejal	O
del	O
Ayuntamiento	O
de	O
Malpartida	O
de	O
Cáceres	O
desde	O
1999,	O
y	O
primer	O
teniente	O
de	O
alcalde	O
desde	O
2007.	O

Dos	O
horas	O
después	O
estaba	O
controlado,	O
pero	O
todavía	O
no	O
se	O
sabe	O
la	O
causa.	O

Estos	O
que	O
se	O
hacen	O
llamar	O
periodistas	O
se	O
creen	O
que	O
hacen	O
una	O
labor	O
social	O
y	O
lo	O
único	O
que	O
hacen	O
es	O
embrutecer	B-METAPHOR
a	O
la	O
gente	O
con	O
su	O
mierda	B-METAPHOR
de	O
información	O
de	O
cotillas	O
de	O
patio.	O

Por	O
eso,	O
un	O
buen	O
día,	O
explota,	B-METAPHOR
y	O
a	O
lomos	O
de	O
su	O
imaginación	O
alcanza	O
una	O
extraña	O
isla	O
donde	O
un	O
puñado	O
de	O
monstruos	O
le	O
convierten	O
en	O
su	O
rey.	O

Según	O
esta	O
asociación,	O
cerca	O
de	O
200.000	O
animales	O
son	O
abandonados	O
al	O
año	O
en	O
España	O
y	O
"muchos	O
de	O
ellos	O
sufren	O
malos	O
tratos	O
".	O

La	O
empresa	O
no	O
es	O
tuya.	O

El	O
Ayuntamiento	O
de	O
la	O
capital	O
subrayó	B-METAPHOR
la	O
relevancia	O
de	O
este	O
fallo	O
judicial	O
para	O
luchar	B-METAPHOR
contra	O
el	O
vandalismo.	O

El	O
primero	O
es	O
una	O
suculenta	B-METAPHOR
indemnización	O
ya	O
pactada	O
de	O
85	O
días	O
por	O
año	O
trabajado,	O
sin	O
límite	O
de	O
antigüedad	O
(la	O
media	O
ronda	B-METAPHOR
los	O
15	O
años	O
y	O
el	O
salario	O
bruto,	O
los	O
1.200	O
euros).	O

Así,	O
aparecieron	O
"de	O
pronto"	O
dos	O
encapuchados,	O
completamente	O
tapados,	O
disfrazados	O
con	O
pasamontañas	O
y	O
gafas	O
de	O
sol.	O

Alguno	O
incluso	O
dice	O
que	O
trabajo	O
para	O
la	O
CIA,	O
otro	O
que	O
para	O
el	O
Mosad	O
y	O
ahora	O
para	O
Microsoft.	O

El	O
técnico	O
tiene	O
la	O
esperanza	O
de	O
que	O
Torres	O
vuelva	O
a	O
su	O
mejor	O
nivel.	O

El	O
tercer	O
televisivo	O
en	O
discordia	O
es	O
Paco	O
León,	O
el	O
indescriptible	O
hermano	O
de	O
Aída	O
y	O
el	O
último	O
descubrimiento	O
de	O
la	O
pequeña	O
pantalla	O
en	O
lo	O
que	O
cómicos	O
se	O
refiere.	O

El	O
periódico	O
ABC	O
estrenará	O
el	O
remake	O
de	O
la	O
serie	O
"P"	O
en	O
noviembre.	O

Ahora,	O
parece	O
que	O
le	O
han	O
dado	O
otro	O
papel	B-METAPHOR
a	O
Mª	O
Antonia	O
Iglesias.	O

Eres	O
muy	O
sociable	O
y	O
muy	O
abierta	B-METAPHOR
con	O
los	O
fans.	O

Suerte	O
Rosana	O
y	O
que	O
recuperes	O
pronto	O
a	O
Quesito.	O

Algún	O
día	O
el	O
propio	O
deporte,	O
en	O
boca	O
de	O
tantos	O
niños	O
y	O
niñas	O
que	O
empiezan	O
a	O
dar	O
sus	O
primeros	O
pasos,	B-METAPHOR
nos	O
dará	O
las	O
gracias.	O

Y	O
este	O
buen	O
señor	O
con	O
la	O
mejor	O
intención	O
que	O
habrá	O
tenido,	O
ha	O
metido	O
la	O
pata.	O

No	O
fue	O
otra	O
cosa.	O

Conseguía	O
el	O
material	O
original	O
gracias	O
a	O
sus	O
contactos	O
en	O
establecimientos	O
de	O
ocio	O
y	O
bares,	O
que	O
le	O
vendían	O
las	O
botellas	O
vacías	O
con	O
los	O
precintos	O
y	O
cajas	O
originales.	O

El	O
vehículo	O
se	O
estampó	B-METAPHOR
contra	O
la	O
mediana	O
a	O
la	O
altura	O
del	O
falso	O
túnel	O
de	O
Carlos	O
Haya,	O
una	O
de	O
las	O
zonas	O
en	O
las	O
que	O
normalmente	O
se	O
forman	O
retenciones.	O

De	O
acuerdo	O
en	O
habilitar	O
espacios	O
para	O
que	O
la	O
gente	O
se	O
destroce	B-METAPHOR
el	O
higado	O
sin	O
molestar	O
a	O
los	O
demás.	O

Por	O
este	O
motivo,	O
jamás	O
podía	O
recomendarse	O
el	O
uso	O
del	O
preservativo;	O
ya	O
que,	O
de	O
haber	O
sido	O
así,	O
se	O
hubiese	O
estando	O
impulsando	B-METAPHOR
a	O
caer	B-METAPHOR
aún	O
más	O
en	O
el	O
aberrante	O
vicio	O
de	O
la	O
fornicación;	O
mismo	O
que	O
podría	O
estarlo	O
practicando	O
tanto	O
la	O
persona	O
soltera	O
como	O
casada,	O
e,	O
incluso,	O
cualquiera	O
de	O
los	O
dos	O
miembros	O
de	O
la	O
pareja	O
de	O
esposos,	O
y	O
sin	O
que	O
hubieran	O
tenido	O
que	O
caer	B-METAPHOR
necesariamente	O
en	O
la	O
falta	O
del	O
adulterio.	O

El	O
bloqueo	O
está	O
visto,	O
solo	O
ha	O
servido	O
para	O
endurecer	B-METAPHOR
y	O
eternizar	B-METAPHOR
el	O
régimen	O
dictatorial	O
(no	O
me	O
hablen	O
de	O
izquieras	O
o	O
derechas,	O
que	O
me	O
da	O
la	O
risa,	O
es	O
una	O
dictadura	O
y	O
punto).	O

Actualmente,	O
tres	O
de	O
cada	O
cuatro	O
cerdos	O
ibéricos	O
puros	O
de	O
alimentación	O
exclusiva	O
con	O
bellotas	O
sacrificados	O
en	O
la	O
última	O
campaña	O
son	O
5J.	O

¡¡¡LA	O
VERDAD,	O
ESTO	O
ES	O
DE	O
PAÍSES	O
TERCERMINDISTAS	O
Y	O
REPUBLICAS	O
BANANERAS,	O
QUE	O
LES	O
IMPORTA	O
UN	O
CARAJO	O
QUE	O
TENGAMOS	O
QUE	O
PAGAR	O
MÁS,	O
PARA	O
RECIBIR	O
MENOS	O
Y	O
EN	O
EL	O
PEOR	O
DE	O
LOS	O
CASOS,	O
UN	O
SERVICIO	O
MALISIMO!!!	O

De	O
todas	O
formas,	O
ni	O
el	O
Real	O
Mazdrid	O
ni	O
el	O
Sevilla	O
van	O
a	O
alcanzar	B-METAPHOR
al	O
Barcelona.	O

El	O
diplomático	O
hizo	O
el	O
anuncio	O
tres	O
días	O
después	O
de	O
que	O
el	O
presidente	O
de	O
Colombia,	O
Alvaro	O
Uribe,	O
pidiese	O
a	O
Estados	O
Unidos	O
ser	O
más	O
severo	O
en	O
las	O
penas	O
a	O
los	O
narcotraficantes	O
que	O
sean	O
extraditados,	O
en	O
una	O
inusual	O
reprimenda	O
del	O
más	O
firme	B-METAPHOR
aliado	O
de	O
Washington	O
en	O
América	O
Latina.	O

En	O
una	O
sesión	O
de	O
grabación,	O
las	O
cosas	O
se	O
torcieron,	O
según	O
informan	O
fuentes	B-METAPHOR
cercanas	O
a	O
la	O
productora.	O

Bienvenido	O
de	O
nuevo	O
al	O
gran	O
circo	B-METAPHOR
Kimi,	O
la	O
F1	O
necesita	O
a	O
grandes	B-METAPHOR
pilotos	O
y	O
Kimi	O
lo	O
es,	O
puede	O
ir	O
muy	O
rápido	O
y	O
a	O
poco	O
que	O
el	O
Lotus	O
funcione	O
Kimi	O
estará	O
ahí	O
dando	O
guerra.	B-METAPHOR

HELSINKI	O
(Reuters)	O
-	O
Un	O
ingeniero	O
informático	O
finlandés	O
que	O
perdió	O
uno	O
